Filière,Entreprise,Pays du stage,Contact Entreprise
IMI,EY,Tunisie,29955685
IMI,HTA Consulting,Tunisie,25721766
IMI,Ecole Centrale Méditerranée,France ,jean-christophe.coillard@centrale-innovation.fr
IMI,Unisphere ,Allemagne ,Michael Anger
IMI,Saint Gobain Sekurit,France,Élodie clin
IMI,Digi Smart Solutions,Tunis,contact@dig2s.tn
IMI,Iliade consulting,Tunisie,99997725
IMI,École polytechnique de Montréal ,Canada ,Abolfazl.mohebbi@polymtl.com
IMI,BUMP,France,+33 1 84 88 72 35
IMI,Cofat tunis,Tunisie ,lassaad.touahri@cofat.com
IMI,Actia Engineering Services ,Tunisie ,98790468
RT,Wattsense,France, contact@wattsense.com
RT,Gérance Informatique,Tunisie,commercial@geranceinformatique.com
RT,POLYCONSEIL,France,amandine.deregard@polyconseil.fr
RT,Sofrecom,Tunisie,58544985
RT,Université de Moncton - Moncton ,Canada,info@umoncton.ca
RT,AIRBUS,France,Mohamed.ibrahim@airbus.com
RT, UNIVERSITE DESTRASBOURG LABORATOIRE ICUBE,France,contact@icube.unistra.fr
RT,SmartLab solutions GmbH,Allemagne,info@smartlab-solutions.de
RT,Finaxys,France,aducastel@finaxys.com
RT,Eperi GmbH,Allemagne,info@eperi.de
RT,Finaxys,France,+33 (0)1 71 11 35 80
RT,Beautinda GMBH,Allemagne,homann@beautinda.com
RT,Infineon,Germany ,Feryel zoghlami
RT,Dassault Systemes,France,fr.people.admin@3ds.com
RT,Polyconseil,"Paris, France",+33 06 22 32 07 47
RT,INSARennes,France,luc.le-magoarou@insa-rennes.fr 
RT,Université Limoges Laboratoire XLIM ,France,presidence@unilim.fr
RT,INSA Rennes,France,luc.le-magoarou@insa-rennes.fr
RT,Institute of Systems Architecture - TU DRESDEN ,Allemagne,wolfgang.lehner@tu-dresden.de
RT,SAP,France,lucie.tessier@sap.com
RT,Stockly,France,Join@stockly.ai
RT,NXP SEMICONDUCTORS France SAS,France,aymen.sghaier@nxp.com
RT,Data-tricks,France,nawrez.othmani@data-tricks.fr
RT,Therapanacea,France,m.chesnay@therapanacea.eu
RT,Workflow HR Systems Gmbh,Autriche,gabriel.gruber@workflow.at
RT,Stockly,France,Join@stockly.ai
RT,Sofrecom Tunisie,Tunisie,31300753
RT,Déclic start-up ,Tunisie,Contact@déclic.net
RT,MicroDoc,Allemagne,Christian Kuka
RT,central supelec laboratoire AIMAC,France,+33 01 69 85 12 12
RT,IT SERV,Tunisie,71230304
RT,Instadeep,tunis,55845645
RT,Workerbase,Allemagne,ana@workerbase.com
RT,PlayMakers,France,ilan.nabeth@playmakers.co
RT,Orbem,Allemagne,hello@orbem.ai
RT,Innovative Realities,United Kingdom (Remote),omar@innovativerealities.com
RT,OliveSoft,Tunisie,92726040
RT,WeCraft,Tunisie,50636636
RT,Wynsys ,Tunisie,contactus@wynsys.com
RT,Focus Technology Solution,Tunisia,71166300
RT,Malou,France,Amine@malou.io
RT,Berger-Levrault,France, gestiondupersonnel@berger-levrault.com
RT,Wakam,France,etienne.debost@wakam.com
RT,SUPCOM,Tunisie,benazza.amel@supcom.tn
RT,Kubermatic,Germany - Remote,contact@kubermatic.com
RT,SCORECHAIN,Luxembourg,clairchensrooms@gmail.com
RT,Efrei Paris,France,adlane.benchallal@efrei.fr
RT,Gali-Link Technology,Tunisie,58763442
RT,polytechnique montreal,canada,marie-lou.robillard@polymtl.ca
RT,ADACTIM,Tunisie,+216 31 34 00 00 
RT,OwnCloud GmbH,Allemagne,info@owncloud.com (+49 911 14888690)
RT,Yogosha,France,+ 33 7 63 79 61 88
RT,Think-it Labs,Tunisia,tunis@think-it.io
RT,Metals Hub GmbH,Germany,careers@metals-hub.com
RT,Werover,Turquie (Stage en télétravail),info@werover.com
RT,Wimbeetech,Tunisie,manel.jrad@wimbeetech.com
RT,Craft AI,France,administration@craft.ai
RT,Sensefuel ,France ,Ferdinand Piette 
RT,Bishop’s university ,"Canada, sherbrooke",Yasir malik
RT,York University,Canada,416-736-5177
RT,"Tendanz Group, Actuarion",France,jean.brunet@actuarion.com
RT,TIK Geek,Tunisie,contact@tikgeek.com
RT,Toronto Metropolitan University ,Canada,fsharifi@ryerson.ca
RT,Brock university,Canada,aemami@brocku.ca
RT,Auxilium Cyber Security GmbH,Germany,info@auxiliumcybersec.com
RT,EcoG GmbH,Allemagne,info@ecog.io
RT,Kernix,France,smorbieu@kernix.com
RT,Société Générale,France,Sylvain Leuba
RT,EssilorLuxottica,France,Earlycareers@ext.essilor.com
RT,AVIDEA,Tunisie,50883008
RT,RIADVICE,Tunis,ghazi.triki@riadvice.tn
RT,Piterion GROUP,Tunisie,+216 70 834 505
