Nom de l'entreprise,E-mail,Téléphone,Description de l'activité (anglais),Secteur majeur BvD,Section NACE Rév. 2
SOCIETE DU JOURNAL L'UNION,dirgen@journal-lunion.fr,+33 3 26 50 50 50,Engaged in the publishing and printing of newspapers,"Edition, impression",J - Information et communication
MASTERNAUT,accueil@masternaut.com,+33 1 41 44 98 50,Engaged in the provision of wireless navigation services and technologies,Autres services,J - Information et communication
PLANISWARE,info@planisware.com,+33 1 41 48 48 60,Engaged in the development of enterprise-wide project management solutions,"Edition, impression",J - Information et communication
MAINCARE SOLUTIONS,accueil@maincare.fr,+33 5 57 89 65 00,Engaged in the provision of a wide range of products to assist healthcare organizations worldwide in providing quality care in the most cost-effective manner possible,Autres services,J - Information et communication
ENABLON,accueil@enablon.net,+33 1 47 33 64 65,Engaged in the development and provision of sustainability performance management software,"Edition, impression",J - Information et communication
GALLIMARD JEUNESSE,accueil@gallimard.fr,+33 1 49 54 42 00,Engaged in the publishing of children's books,"Edition, impression",J - Information et communication
O2I,contact@o2i.biz,+33 1 41 47 70 00,The Company specializes in computer hardware and software integration for professionals in the digital graphics industry.,Autres services,J - Information et communication
ULLINK,office@ullink.com,+33 1 49 95 30 00,"Engaged in the provision of computer programming, data processing, and other computer related services","Edition, impression",J - Information et communication
HN SERVICES,info@groupehn.com,+33 1 44 67 13 00,Primarily engaged in the commercial and industrial operations of information technology and telecommunication processing systems,Autres services,J - Information et communication
METHOD ANIMATION,onyxfilms@onyxfilms.fr,+33 1 80 48 04 10,Engaged in motion picture and video production,Autres services,J - Information et communication
FEEL EUROPE IDF,accueil@feeleurope.com,+33 1 53 66 33 33,Engaged in providing Information technology (IT) consulting services in France,Autres services,J - Information et communication
VISION IT GROUP,recrutement@visionitgroup.fr,+33 1 41 09 77 00,Engaged in providing consulting and expertise in information technologies,Autres services,J - Information et communication
AB TELEVISION,contact@abweb.com,+33 1 49 22 20 01,Engaged in programming and distribution of television broadcast in France,Autres services,J - Information et communication
L'EQUIPE 24 24,contact@lequipe.fr,+33 1 41 23 30 00,Engaged in radio and television broadcasting,Autres services,J - Information et communication
LAPEYRE SERVICES,service.client@lapeyre.fr,+33 1 48 11 74 00,"Engaged in the provision of computer programming, data processing, and other computer related services",Autres services,J - Information et communication
DUBBING BROTHERS,info@dubbing-brothers.com,+33 1 41 62 74 00,Engaged in motion picture and video production activities,Autres services,J - Information et communication
EPITHETE FILMS,info@epithete-films.com,+33 1 41 86 92 00,Engaged in the activities of film or movie production,Autres services,J - Information et communication
TEADS FRANCE,carole@teads.tv,+33 1 70 95 59 00,Operates a platform for Internet advertising and social media,Autres services,J - Information et communication
JOURNAL DU COURRIER DE L'OUEST,secretariat.redac-chef.angers@courrier-ouest.com,+33 2 41 68 86 88,Engaged in the publication of newspaper,"Edition, impression",J - Information et communication
ONLINE,hebergement@online.net,+33 1 73 50 20 00,Primarily engaged in the provision of Internet access and telecommunication services in France,Autres services,J - Information et communication
LOGWARE INGENIERIE,s.gauthier@logware.fr,+33 1 53 94 71 20,Engaged in the provision of computer systems design and other related services,Autres services,J - Information et communication
SOCIETE NOUVELLE DU JOURNAL L'HUMANITE,netadm@humanite.fr,+33 1 49 22 72 72,Engaged in printing and publishing of newspapers,"Edition, impression",J - Information et communication
AXEMBLE,lfiard@vdocsoftware.com,+33 4 78 87 30 00,Engaged in the provision of product lifecycle management (PLM) and product data management (PDM) integration services,Autres services,J - Information et communication
I-CIF,accueil-paris@creditimmobilierdefrance.com,,Engaged in the provision of computer programming services,Autres services,J - Information et communication
WAGRAM MUSIC,info@wagram.fr,+33 1 56 53 76 00,Engaged as a holding company with interests in the music industry,"Edition, impression",J - Information et communication
MICHEL LAFON PUBLISHING,contact@michel-lafon.com,+33 1 41 43 85 85,Engaged in the printing and publication of books and other related articles,"Edition, impression",J - Information et communication
IT LINK,infofi@itlink.fr,+33 1 53 90 15 90,"The Company is a computer services company specializing in on-board technologies. The Compnay's activity consists of assisting industries (automotive, aeronautics, telecoms, transportation, energy and defense) with their research and development projects.",Autres services,J - Information et communication
CSC FINANCIAL SERVICES SAS,baccueil@csc.com,+33 1 55 70 70 70,"Engaged in the provision of consulting, integration of business solutions and outsourcing services",Autres services,J - Information et communication
ILLUMINATION MAC GUFF,contact@illuminationmacguff.com,+33 1 53 58 12 12,Engaged in the operation and management of a film studio,Autres services,J - Information et communication
LINKEO COM,marketing@linkeo.com,+33 9 70 35 30 01,Operates as a telecom Application Service Provider (ASP) that provides virtual call center services,Autres services,J - Information et communication
INFORMATICA FRANCE,informaticadirectory@yahoo.com,+33 1 41 38 92 00,"Engaged in marketing, importation, exploitation, distribution of computer software, as well as involved in localization, and services logistics","Edition, impression",J - Information et communication
EDITIONS LARIVIERE,annonces@editions-lariviere.fr,+33 1 41 40 32 32,Engaged in publishing journals and periodicals,"Edition, impression",J - Information et communication
CEGEDIM SOLUTIONS RESSOURCES HUMAINES,accueil17@srh-cegedim.fr,+33 1 49 09 84 40,Engaged in the provision of computer programming services,Autres services,J - Information et communication
GROUPE FRANCE AGRICOLE,gfa@gfa.fr,+33 1 40 22 79 00,Agricultural magazine publisher ; Online agricultural news and articles publishing services [source: Bureau van Dijk],"Edition, impression",J - Information et communication
SOCIETE D'EDITION DE TELEVISION PAR CABLE,courrier@telecable.hommell.com,+33 1 47 11 20 00,Engaged in the publishing of journals and periodicals,"Edition, impression",J - Information et communication
SOFT COMPUTING,amd@softcomputing.com,+33 1 73 00 55 00,"The Company is a computer services company specializing in customer relationship. The Company's activities include the following : - system design and integration: application design, implementation of technical architectures, performance piloting systems ;- supply of operating services: primarily hosting services, operating and updating services for customer data bases, performance of studies and surveys - consulting services : for defining needs and developing performance improvement strategies.",Autres services,J - Information et communication
INTEROUTE FRANCE SAS,info@interoute.com,+33 1 41 61 45 00,Engaged in the provision of communication services,Télécommunications,J - Information et communication
1 ET 1 INTERNET SARL,billing@1and1.fr,+33 3 87 95 99 00,Engaged in providing Internet services along with mobile Internet options,Autres services,J - Information et communication
SYMPHONYEYC FRANCE,info.fr@eyc.com,+33 1 46 48 28 00,Engaged in I.T. And organization studies,Autres services,J - Information et communication
DISNEY HACHETTE PRESSE,commin@hfp.fr,+33 1 41 34 60 00,Engaged in publishing journals and periodicals,"Edition, impression",J - Information et communication
DARGAUD,contact@dargaud.fr,+33 1 53 26 32 32,Engaged in publishing and printing books,"Edition, impression",J - Information et communication
LINEDATA SERVICES LEASING & CREDIT,accueilneuilly@linedata.com,+33 1 73 43 70 20,Engaged in business and management consultancy activities,Autres services,J - Information et communication
OCTO TECHNOLOGY,bhartmann@octo.com,+33 1 58 56 10 00,"The Company specializes in consulting and execution services for information system architectures. The Company's activity revolves around three sectors:- consulting services, - engineering services, and - training services.",Autres services,J - Information et communication
PRETTY SIMPLE,contact@prettysimplegames.com,+33 1 47 97 23 51,Develops and self-publishes casual games for social and mobile platforms,"Edition, impression",J - Information et communication
READY BUSINESS SYSTEM,contact@rbs.fr,+33 3 88 76 47 64,"France-based information technology (IT) consulting business, providing consulting services on hardware, software, systems and networks, ERP (Enterprise Resource Planning) and the Internet",Autres services,J - Information et communication
THE MATHWORKS,info@mathworks.fr,+33 1 41 14 87 00,"Develops and supplies technical computing and model-based design software for engineers, scientists, mathematicians, and researchers","Edition, impression",J - Information et communication
DOUBLETRADE,info@intescia.com,+33 1 46 29 46 29,Engaged in the provision of information and marketing solutions to decision makers and professionals,Autres services,J - Information et communication
CALT PRODUCTION,contact@robinco.fr,+33 1 81 93 25 00,Engaged in motion picture and video production,Autres services,J - Information et communication
HIGH CONNEXION,contact.admin@highconnexion.com,+33 4 88 71 69 04,Primarily engaged in the provision of multimedia technology consulting services,Autres services,J - Information et communication
EUROGICIEL INGENIERIE,recrutement@eurogiciel.fr,+33 5 61 00 79 79,Engaged in the provision of technical and industrial software services,Autres services,J - Information et communication
BLACKBERRY FRANCE SAS,francereception@rim.com,+33 1 70 74 51 00,Engaged in the distribution of wireless solutions for mobile communications market,"Edition, impression",J - Information et communication
EASYTEAM,adm@easyteam.fr,+33 5 61 51 99 60,Engaged in the provision of computer programming and related Information Technology (IT) solutions and services,Autres services,J - Information et communication
DATA-ONE,newsletters@dataone.fr,+33 2 32 77 36 36,Engaged in the provision of solutions in the field of direct marketing and distance sales,Autres services,J - Information et communication
ADOBE SYSTEMS FRANCE SAS,accueil@adobe.com,+33 1 56 54 99 00,Engaged in the provision of computer software products and technologies,"Edition, impression",J - Information et communication
INTERWAY,commercial@interway.fr,+33 4 42 15 95 00,Engaged in the provision of computer systems design and related services,Autres services,J - Information et communication
ELIOR DATA,accueil.bercy@elior.com,+33 1 40 19 50 00,Engaged in the provision of information technology and other related services,Autres services,J - Information et communication
NIJI,commercial@niji.fr,+33 2 99 32 02 84,Engaged in the provision of computer systems design and related services,Autres services,J - Information et communication
EGO PRODUCTIONS,contact@egoproductions.fr,+33 1 44 88 94 00,"Engaged in the production, running, purchase, sale, distribution and broadcasting",Autres services,J - Information et communication
TESSI PAIEMENTS SERVICES,corinne.rebouah@tessi.fr,+33 4 26 68 86 00,Engaged in the provision of data processing services; Involved in providing electronic data processing services,Autres services,J - Information et communication
D17,contact.d8@canal-plus.com,+33 1 70 18 60 00,"Engaged in the operation and management of Direct Star, a French music channel owned by Vincent Bollore",Autres services,J - Information et communication
WHY NOT PRODUCTIONS,whynot@wanadoo.fr,+33 1 48 24 24 50,Engaged in the production of motion pictures and videos,Autres services,J - Information et communication
NORSYS SAS,direction_nrn@norsys.fr,+33 3 28 76 56 00,Engaged in the provision of computer programming services,Autres services,J - Information et communication
ODEOLIS,contact@odealis.fr,+33 1 40 82 60 20,Engaged in the provision of computer programming services,Autres services,J - Information et communication
CAST SA,p.boscbierne@castsoftware.com,+33 146902100,The Company is a leading publisher of language analysis software intended for computer professionals. The Company's activities include the following :- software publishing : software used to aid in understanding and mastering the internal structures of computer applications;- consulting services .,Autres services,J - Information et communication
ARISMORE,contact@arismore.fr,+33 1 47 11 09 29,"Engaged in the provision of computer programming, data processing, and other computer related services",Autres services,J - Information et communication
ARINSO FRANCE,reception.fr@ngahr.com,+33 1 49 00 31 31,"Engaged in the provision of computer programming, data processing, and other computer related services",Autres services,J - Information et communication
HARMONIA MUNDI LIVRE,presse@harmoniamundi.com,+33 4 90 49 90 49,Operates as an independent music record label firm,"Edition, impression",J - Information et communication
R&G PRODUCTIONS,accueil@retgproductions.fr,+33 1 41 31 03 33,Engaged in the activities of film or movie production,Autres services,J - Information et communication
REAL-NOT,serviceclient.groupeadsn@notaires.fr,+33 4 42 54 90 00,,Autres services,J - Information et communication
GROUPE REVUE FIDUCIAIRE,librairie@grouperf.com,+33 1 47 70 42 42,Engaged in publishing legal and accounting information in France,"Edition, impression",J - Information et communication
NERIM,commercial@nerim.com,+33 9 73 87 00 00,Engaged in the provision of computer systems design and other related services,Autres services,J - Information et communication
LES PRODUCTIONS DU TRESOR,emmanuel@productionsdutresor.com,+33 1 43 38 48 84,Engaged in the provision of a range of specialized motion picture and video postproduction services,Autres services,J - Information et communication
OPEN TEXT,info.france@opentext.com,+33 1 47 96 54 00,"Develops, markets, sells, licenses, and supports Enterprise Content Management (ECM) solutions","Edition, impression",J - Information et communication
MTV NETWORKS SARL,reception.france@vimn.com,+33 1 70 94 94 94,"Engaged in the provision of management oversight, intra-group financing and corporate support to its subsidiaries",Autres services,J - Information et communication
EDITIONS SOLEIL,bonus@soleilprod.com,+33 4 94 18 51 85,Engaged in the publication of comic strips and books,"Edition, impression",J - Information et communication
NEWTECH INTERACTIVE,contacts@newtech.fr,+33 5 61 43 20 20,Publishes value added content on multimedia channels such as mobile phones and internet,"Edition, impression",J - Information et communication
ICONOCLASTE,hello@iconoclast.tv,+33 1 80 50 55 49,"Engaged in the development, production and distribution of movies and multimedia films",Autres services,J - Information et communication
VIDAL FRANCE,service.client@vidal.fr,+33 1 73 28 11 00,Engaged in providing reference information for healthcare professionals and the general public around the world,"Edition, impression",J - Information et communication
CASSIOPAE,info@cassiopae.com,+33 1 55 56 55 00,Global finance and asset management software developer [source: Bureau van Dijk],Autres services,J - Information et communication
SO AT,contact@soat.fr,+33 1 44 75 42 55,"Engaged in the provision of computer programming, data processing, and other computer related services, specializing in computer systems design services, hardware consultancy and data base activities",Autres services,J - Information et communication
EDITIONS J AI LU,blobry@jailu.com,+33 1 44 39 34 70,Engaged in publishing business,"Edition, impression",J - Information et communication
DUNOD EDITEUR,infos@dunod.com,+33 1 40 46 35 00,"Engaged in the publishing of books, journals and periodicals","Edition, impression",J - Information et communication
TIBCO TELECOMS,contact@tibco.fr,+33 8 20 20 11 79,"Engaged in the provision of business and management consultancy services, specializing in telecommunication and I.T. networks",Autres services,J - Information et communication
EXL GROUP,contact@exl-group.com,+33 1 53 32 21 40,Engaged in the provision of computer systems design and other related services,Autres services,J - Information et communication
HUGO & CIE,edition@hugoetcie.fr,+33 1 53 04 41 51,Engaged in the publishing activities; Operates as a book publisher,"Edition, impression",J - Information et communication
EDITIONS BELIN,info@editions-belin.fr,+33 1 55 42 84 00,Engaged in the printing and publication of books and other related articles,"Edition, impression",J - Information et communication
ESRI FRANCE S.A.,info@esrifrance.fr,+33 1 46 23 60 60,Engaged in the provision of computer-related services,"Edition, impression",J - Information et communication
ALMERYS,contact@almerys.com,+33 4 73 74 58 90,Engaged in the provision of computer programming services,Autres services,J - Information et communication
INTERNATIONAL TELECOMMUNICATION NETWORK FRANCE,info@vivaction.com,+33 1 55 17 07 35,Engaged in the provision of telecommunications and other related services,Télécommunications,J - Information et communication
ALTECA,contact@alteca.fr,+33 4 72 69 72 72,"Engaged in the provision of consulting, engineering and development NTI mainframe, Unix and database administration",Autres services,J - Information et communication
BEAUBOURG AUDIOVISUEL,accueil@hfba.fr,+33 1 42 78 91 00,"Engaged in the production, distribution and marketing of motion picture and video films",Autres services,J - Information et communication
CGR CINEMAS,cgr.perigny@cgrcinemas.fr,+33 5 46 44 01 76,Holds various firms engaged in motion picture projection,Autres services,J - Information et communication
E-FRONT,info@efront.com,+33 1 49 96 60 40,"Primarily engaged in the provision of business software solutions, specializing in alternative investments and risk management","Edition, impression",J - Information et communication
MONSTER WORLDWIDE,info@monster.fr,+33 1 41 06 20 25,"Engaged in the development, design and running of all telecommunications systems; Involved in the provision of data processing services",Autres services,J - Information et communication
MAGNARD-VUIBERT,contact@magnard.fr,+33 1 42 79 44 00,"Operates as a full service investment management firm with interest in the publishing and production of books, magazines and other periodicals","Edition, impression",J - Information et communication
TRACE ONE,contact@traceone.com,+33 1 56 90 24 24,Engaged in the publishing of software,"Edition, impression",J - Information et communication
SOCIETE NORMANDE D'INFORMATION ET DE COMMUNICATION,redaction.havre@presse.normande.com,+33 2 35 19 17 17,Engaged in newspaper publishing,"Edition, impression",J - Information et communication
RAYNET,contact@araymond.com,+33 4 76 33 49 49,Engaged in the provision of computer programming services,Autres services,J - Information et communication
PARTICULIER ET FINANCES EDITIONS,redactionlpa@leparticilier.fr,+33 1 57 08 73 00,Engaged in the publication of newspapers,"Edition, impression",J - Information et communication
LA MODE EN IMAGES,lmi@lamodeenimages.com,+33 1 48 04 97 55,Engaged in the management and operation of conventions and trade shows,Autres services,J - Information et communication
TEGUR,contact@groupe-ruget.com,+33 4 72 25 13 30,Engaged in computer software publishing,Autres services,J - Information et communication
PARIS PREMIERE,accueil89@wanadoo.fr,+33 1 41 92 66 66,Engaged in cable and satellite television broadcasting,Autres services,J - Information et communication
SMARTFOCUS FRANCE,standard@smartfocus.com,+33 1 41 27 27 17,Develops Web-based technology services and applications for the management of email and short message service marketing campaigns,"Edition, impression",J - Information et communication
SA QUADRATUS,contact@quadratus.fr,+33 4 42 24 21 59,Engaged in the provision of integrated global management and 100 percent solutions for various enterprises needs,"Edition, impression",J - Information et communication
APX INTEGRATION,info@axians.com,+33 1 41 31 92 92,Engaged in the provision of information and communication technology services,Autres services,J - Information et communication
EURO TVS - TRAITEMENT VALEURS SERVICES,karine.testart@e-i.com,+33 1 45 14 30 54,Engaged in the handling of IT (information technology) requirements,Autres services,J - Information et communication
ASI,asicom@asi.fr,+33 2 40 92 19 49,Engaged in the provision of computer programming services,Autres services,J - Information et communication
GROUPE EYROLLES SA,standard@eyrolles.com,+33 1 44 41 11 11,Engaged in book publishing,"Edition, impression",J - Information et communication
BODET SOFTWARE,direction.software@bodet-software.fr,+33 2 41 71 44 01,Engaged in the provision of software and hardware solutions for personnel management,Autres services,J - Information et communication
MAILEVA,info@maileva.com,+33 8 10 80 28 01,Engaged in the provision of computer programming services,Autres services,J - Information et communication
GROUPE EDITOR,service.clients@groupe-editor.com,+33 4 42 39 50 17,Holding enterprise engaged in the management of holding companies,"Edition, impression",J - Information et communication
KLEE CONSEIL & INTEGRATION,contact@kleegroup.com,+33 1 46 29 25 25,"Engaged in the provision of computer programming, data processing, and other computer related services",Autres services,J - Information et communication
SWORD SA,pgachon@sword-group.com,+33 4 72 85 37 40,Engaged in computer engineering and maintenance,Autres services,J - Information et communication
FLEURUS EDITIONS,mango-jeunesse@editions-mango.fr,+33 1 53 26 35 00,Engaged in publishing books of quality and permanence that enrich the lives of those who read them,"Edition, impression",J - Information et communication
SIFIJA - SOCIETE INTERNATIONALE DE FINANCEMENT ET D'INVESTISSEMENT,accueil@jeuneafrique.com,+33 1 44 30 19 60,Engaged in the publishing business; Operates as a magazine and periodical publisher,"Edition, impression",J - Information et communication
WARNER CHAPPELL MUSIC FRANCE SAS,wcmfra@warnerchappell.com,+33 1 56 60 45 00,Engaged in creating innovative strategies for marketing and promoting songwriters and their music,"Edition, impression",J - Information et communication
SEDI,accueil-idf@tessi.fr,+33 1 41 31 53 83,Engaged in the provision of computer processing and data preparation services,Autres services,J - Information et communication
CAPA PRESSE,capaentreprises@capatv.com,+33 1 40 45 47 00,"Engaged in supplying information, such as news reports, articles, pictures, and features, to the news media principally in France",Autres services,J - Information et communication
NORD-OUEST FILMS,contact@nord-ouest.fr,+33 1 53 20 47 28,Engaged in the activities of film or movie production,Autres services,J - Information et communication
HARPERCOLLINS FRANCE SA,harlequin-rh@harlequin.fr,+33 1 45 82 47 47,Engaged in the publication of magazines and other related articles,"Edition, impression",J - Information et communication
NOVEDIA GROUP,accueil.ruedeparis@gmail.com,+33 1 41 22 13 00,Engaged in the provision of IT-related services,Autres services,J - Information et communication
ETRALI FRANCE SA,accueil.tradingsolutions@etrali.com,+33 1 55 82 91 00,Engaged in the provision of computer programming services,Autres services,J - Information et communication
EUROPE NEWS,servicepresse@europe1.fr,+33 1 44 31 90 00,Engaged in the activities of news agency,Autres services,J - Information et communication
BRAND & CONSUMER TECHNOLOGIES,info@bnctech.com,+33 1 46 12 27 00,"Engaged in the provision of data processing, hosting, and related services",Autres services,J - Information et communication
QLIKTECH FRANCE,infofr@qliktech.com,+33 1 55 62 06 90,Operates as a leader in data discovery delivering intuitive solutions for self-service data visualization and guided analytics,"Edition, impression",J - Information et communication
BMC SOFTWARE FRANCE SAS,customer_support@bmc.com,+33 1 57 00 61 00,Engaged in the activities of an IT services company,Autres services,J - Information et communication
COGNITIS FRANCE,recrutement@cognitis.gfi.fr,+33 1 44 04 50 00,Engaged in the provision of information technology services primarily in France,Autres services,J - Information et communication
ZAYO FRANCE,fr-ncc@zayo.com,+33 1 49 97 07 40,"Operates as a fiber network, datacenter, and cloud operator",Télécommunications,J - Information et communication
MISSLER SOFTWARE,contact.france@topsolid.com,+33 1 60 87 20 20,"Engaged in the provision of integrated software solution for product design, manufacturing, and data management","Edition, impression",J - Information et communication
FREMANTLEMEDIA FRANCE,accueil@fremantlemedia.com,+33 1 46 62 38 00,"Engaged in offering a one-stop shop for all licensing, distribution and home entertainment",Autres services,J - Information et communication
